13-01-2018 13:00:16 INFO  LoggerHelper:89 - 
13-01-2018 13:13:30 INFO  LoggerHelper:79 - 
13-01-2018 13:31:03 INFO  LoggerHelper:79 - 
13-01-2018 14:23:35 INFO  LoggerHelper:79 - 
13-01-2018 15:02:07 INFO  LoggerHelper:79 - 
13-01-2018 15:48:48 INFO  LoggerHelper:79 - 
13-01-2018 15:55:04 INFO  LoggerHelper:35 - 
13-01-2018 15:57:15 INFO  LoggerHelper:35 - 
19-01-2018 13:18:14 INFO  LoggerHelper:35 - 
19-01-2018 13:27:07 INFO  LoggerHelper:35 - 
19-01-2018 13:39:26 INFO  LoggerHelper:35 - 
19-01-2018 14:20:44 INFO  LoggerHelper:35 - 
19-01-2018 15:19:30 INFO  LoggerHelper:35 - 
19-01-2018 16:32:48 INFO  LoggerHelper:35 - 
19-01-2018 16:56:02 INFO  LoggerHelper:35 - 
19-01-2018 17:07:28 INFO  LoggerHelper:35 - 
19-01-2018 17:26:06 INFO  LoggerHelper:35 - 
19-01-2018 17:32:12 INFO  LoggerHelper:35 - 
19-01-2018 17:36:25 INFO  LoggerHelper:35 - 
19-01-2018 17:38:20 INFO  LoggerHelper:35 - 
19-01-2018 17:40:16 INFO  LoggerHelper:35 - 
21-01-2018 11:40:00 INFO  TestBase:123 - loading cofig.properties
21-01-2018 11:40:51 INFO  TestBase:123 - loading cofig.properties
21-01-2018 11:40:51 INFO  TestBase:128 - loading config.properties
21-01-2018 11:40:51 INFO  TestBase:133 - loading rtmedia.properties
21-01-2018 11:43:22 INFO  TestBase:123 - loading cofig.properties
21-01-2018 11:43:23 INFO  TestBase:128 - loading config.properties
21-01-2018 11:43:23 INFO  TestBase:133 - loading rtmedia.properties
21-01-2018 11:53:31 INFO  TestBase:123 - loading cofig.properties
21-01-2018 11:53:31 INFO  TestBase:128 - loading config.properties
21-01-2018 11:53:31 INFO  TestBase:133 - loading rtmedia.properties
21-01-2018 11:55:25 INFO  TestBase:123 - loading cofig.properties
21-01-2018 11:55:25 INFO  TestBase:128 - loading config.properties
21-01-2018 11:55:25 INFO  TestBase:133 - loading rtmedia.properties
21-01-2018 11:55:49 INFO  TestBase:123 - loading cofig.properties
21-01-2018 11:55:49 INFO  TestBase:128 - loading config.properties
21-01-2018 11:55:49 INFO  TestBase:133 - loading rtmedia.properties
21-01-2018 11:57:13 INFO  TestBase:123 - loading cofig.properties
21-01-2018 11:57:13 INFO  TestBase:128 - loading config.properties
21-01-2018 11:57:13 INFO  TestBase:133 - loading rtmedia.properties
21-01-2018 11:57:45 INFO  TestBase:123 - loading cofig.properties
21-01-2018 11:57:45 INFO  TestBase:128 - loading config.properties
21-01-2018 11:57:45 INFO  TestBase:133 - loading rtmedia.properties
21-01-2018 11:59:42 INFO  TestBase:123 - loading cofig.properties
21-01-2018 11:59:42 INFO  TestBase:128 - loading config.properties
